Party,Party Votes Percentage,Electorate,Election Year
ACT New Zealand,1.06,Auckland Central,2017
Aotearoa Legalise Cannabis Party,0.24,Auckland Central,2017
Ban1080,0.04,Auckland Central,2017
Conservative,0.1,Auckland Central,2017
Democrats for Social Credit,0.01,Auckland Central,2017
Green Party,13.9,Auckland Central,2017
Internet Party,0.03,Auckland Central,2017
Labour Party,37.79,Auckland Central,2017
MANA,0.04,Auckland Central,2017
Maori Party,0.41,Auckland Central,2017
National Party,39.23,Auckland Central,2017
New Zealand First Party,3.88,Auckland Central,2017
New Zealand People's Party,0.03,Auckland Central,2017
NZ Outdoors Party,0.03,Auckland Central,2017
The Opportunities Party (TOP),3.15,Auckland Central,2017
United Future,0.06,Auckland Central,2017
ACT New Zealand,0.6,Botany,2017
Aotearoa Legalise Cannabis Party,0.15,Botany,2017
Ban1080,0.02,Botany,2017
Conservative,0.26,Botany,2017
Democrats for Social Credit,0.01,Botany,2017
Green Party,2.39,Botany,2017
Internet Party,0.03,Botany,2017
Labour Party,29.27,Botany,2017
MANA,0.03,Botany,2017
Maori Party,0.56,Botany,2017
National Party,61.02,Botany,2017
New Zealand First Party,4.59,Botany,2017
New Zealand People's Party,0.13,Botany,2017
NZ Outdoors Party,0.04,Botany,2017
The Opportunities Party (TOP),0.82,Botany,2017
United Future,0.09,Botany,2017
ACT New Zealand,0.99,East Coast Bays,2017
Aotearoa Legalise Cannabis Party,0.17,East Coast Bays,2017
Ban1080,0.01,East Coast Bays,2017
Conservative,0.27,East Coast Bays,2017
Democrats for Social Credit,0.02,East Coast Bays,2017
Green Party,4.74,East Coast Bays,2017
Internet Party,0.01,East Coast Bays,2017
Labour Party,23.23,East Coast Bays,2017
MANA,0.01,East Coast Bays,2017
Maori Party,0.16,East Coast Bays,2017
National Party,62.88,East Coast Bays,2017
New Zealand First Party,5.39,East Coast Bays,2017
New Zealand People's Party,0.05,East Coast Bays,2017
NZ Outdoors Party,0.04,East Coast Bays,2017
The Opportunities Party (TOP),1.92,East Coast Bays,2017
United Future,0.1,East Coast Bays,2017
ACT New Zealand,1.78,Epsom,2017
Aotearoa Legalise Cannabis Party,0.1,Epsom,2017
Ban1080,0.02,Epsom,2017
Conservative,0.21,Epsom,2017
Democrats for Social Credit,0.02,Epsom,2017
Green Party,8.36,Epsom,2017
Internet Party,0.02,Epsom,2017
Labour Party,24.54,Epsom,2017
MANA,0.02,Epsom,2017
Maori Party,0.32,Epsom,2017
National Party,58.63,Epsom,2017
New Zealand First Party,3.15,Epsom,2017
New Zealand People's Party,0.09,Epsom,2017
NZ Outdoors Party,0.02,Epsom,2017
The Opportunities Party (TOP),2.67,Epsom,2017
United Future,0.06,Epsom,2017
ACT New Zealand,0.81,Helensville,2017
Aotearoa Legalise Cannabis Party,0.29,Helensville,2017
Ban1080,0.05,Helensville,2017
Conservative,0.22,Helensville,2017
Democrats for Social Credit,0.02,Helensville,2017
Green Party,7.57,Helensville,2017
Internet Party,0.02,Helensville,2017
Labour Party,25.5,Helensville,2017
MANA,0.03,Helensville,2017
Maori Party,0.27,Helensville,2017
National Party,55.92,Helensville,2017
New Zealand First Party,7.12,Helensville,2017
New Zealand People's Party,0.03,Helensville,2017
NZ Outdoors Party,0.05,Helensville,2017
The Opportunities Party (TOP),2.03,Helensville,2017
United Future,0.07,Helensville,2017
ACT New Zealand,0.72,Hunua,2017
Aotearoa Legalise Cannabis Party,0.25,Hunua,2017
Ban1080,0.08,Hunua,2017
Conservative,0.18,Hunua,2017
Democrats for Social Credit,0.01,Hunua,2017
Green Party,2.99,Hunua,2017
Internet Party,0.02,Hunua,2017
Labour Party,22.27,Hunua,2017
MANA,0.02,Hunua,2017
Maori Party,0.25,Hunua,2017
National Party,62.95,Hunua,2017
New Zealand First Party,8.57,Hunua,2017
New Zealand People's Party,0.06,Hunua,2017
NZ Outdoors Party,0.07,Hunua,2017
The Opportunities Party (TOP),1.48,Hunua,2017
United Future,0.08,Hunua,2017
ACT New Zealand,0.35,Kelston,2017
Aotearoa Legalise Cannabis Party,0.33,Kelston,2017
Ban1080,0.02,Kelston,2017
Conservative,0.29,Kelston,2017
Democrats for Social Credit,0.0,Kelston,2017
Green Party,6.72,Kelston,2017
Internet Party,0.03,Kelston,2017
Labour Party,50.37,Kelston,2017
MANA,0.08,Kelston,2017
Maori Party,0.5,Kelston,2017
National Party,32.95,Kelston,2017
New Zealand First Party,6.58,Kelston,2017
New Zealand People's Party,0.14,Kelston,2017
NZ Outdoors Party,0.03,Kelston,2017
The Opportunities Party (TOP),1.56,Kelston,2017
United Future,0.04,Kelston,2017
ACT New Zealand,0.12,Mangere,2017
Aotearoa Legalise Cannabis Party,0.26,Mangere,2017
Ban1080,0.01,Mangere,2017
Conservative,0.26,Mangere,2017
Democrats for Social Credit,0.01,Mangere,2017
Green Party,2.71,Mangere,2017
Internet Party,0.02,Mangere,2017
Labour Party,71.04,Mangere,2017
MANA,0.17,Mangere,2017
Maori Party,2.04,Mangere,2017
